EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
168941.600,194450.000,336439.300,302636.600,176436.100,171744.200,158019.800,175624.400,0.000
168536.300,193978.800,335511.300,301851.300,176026.000,171321.600,157677.300,175282.900,0.000
168148.900,193605.600,334704.900,301110.100,175890.000,170991.600,157427.500,175054.700,0.000
167733.100,193173.400,333786.900,300245.700,175613.400,170622.000,157078.000,174661.100,0.000
167314.500,192644.600,332730.500,299296.700,175002.500,170161.200,156590.800,174063.700,0.000
166941.200,192132.100,331746.200,298471.400,174337.100,169706.800,156146.100,173540.800,0.000
166620.800,191758.000,330964.900,297845.500,174004.600,169365.800,155884.700,173285.800,0.000
166308.100,191473.500,330280.000,297254.400,173945.200,169114.100,155701.300,173127.900,0.000
165968.900,191135.900,329532.500,296536.700,173752.500,168824.800,155422.100,172807.500,0.000
165631.600,190703.800,328655.400,295742.600,173231.800,168452.000,155022.500,172303.700,0.000
165338.500,190289.700,327839.400,295070.600,172658.400,168079.400,154657.000,171861.800,0.000
165075.100,189988.900,327222.600,294575.100,172393.700,167803.600,154445.900,171662.200,0.000
164829.500,189784.500,326721.900,294125.600,172408.800,167624.000,154331.700,171592.000,0.000
164557.200,189522.300,326103.100,293541.400,172287.500,167400.200,154119.600,171352.700,0.000
164286.000,189161.900,325344.900,292876.500,171837.000,167078.600,153778.000,170914.000,0.000
164050.900,188807.800,324642.400,292313.300,171321.900,166749.200,153457.300,170529.600,0.000
163853.700,188574.200,324147.400,291926.400,171110.800,166519.000,153296.700,170391.300,0.000
163661.000,188425.800,323763.100,291574.600,171168.400,166376.000,153227.400,170366.700,0.000
163439.200,188218.900,323263.300,291084.500,171098.400,166202.600,153062.000,170181.200,0.000
163213.200,187917.900,322619.800,290508.300,170702.300,165949.700,152765.500,169800.300,0.000
163016.700,187618.500,322019.700,290024.500,170235.500,165684.000,152491.300,169458.100,0.000
162861.400,187440.200,321625.800,289724.100,170078.500,165517.000,152375.500,169367.600,0.000
162711.100,187348.400,321338.100,289459.000,170189.300,165441.400,152351.100,169394.100,0.000
162529.000,187192.300,320929.000,289050.500,170165.100,165315.600,152228.900,169253.000,0.000
162339.900,186930.900,320364.800,288543.000,169806.200,165097.500,151966.900,168906.600,0.000
162183.800,186671.000,319844.900,288137.000,169374.700,164869.000,151720.800,168606.000,0.000
162066.500,186533.900,319533.900,287908.300,169252.800,164740.600,151638.100,168550.800,0.000
161949.500,186476.000,319325.600,287710.900,169396.900,164690.300,151642.500,168604.900,0.000
161809.300,186361.700,319000.300,287378.400,169412.600,164602.200,151553.200,168499.000,0.000
161656.800,186142.600,318515.800,286943.100,169093.100,164414.500,151319.300,168186.400,0.000
161524.700,185918.700,318063.800,286593.600,168696.000,164209.900,151100.600,167918.300,0.000
161433.400,185811.900,317813.500,286417.800,168599.800,164108.800,151049.500,167894.700,0.000
161338.600,185775.800,317689.300,286261.400,168755.900,164077.400,151072.900,167974.700,0.000
161224.800,185690.800,317466.000,285974.300,168798.500,164015.000,151006.800,167898.600,0.000
