EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
750000.100,750000.100,-349702.000,695754.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,-534275.500,663026.600,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,-94083.500,741950.200,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,725453.000,187200.500,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,449633.300,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,569563.800,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,684776.900,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,615751.200,750000.100,0.000
677220.600,750000.100,750000.100,750000.100,709767.600,735582.600,509384.100,722081.000,0.000
571748.400,639885.600,750000.100,750000.100,595728.000,619862.200,432789.700,608611.600,0.000
491417.300,548182.900,750000.100,750000.100,510547.000,531716.400,373888.300,522129.100,0.000
426900.000,474696.000,750000.100,750000.100,442458.500,460979.800,326085.000,452818.500,0.000
372983.900,413796.300,750000.100,750000.100,385932.500,402086.400,286060.200,395170.000,0.000
327332.600,362172.800,750000.100,750000.100,338147.100,352082.800,252270.300,346279.300,0.000
288591.300,318330.600,750000.100,740824.400,297672.800,309820.300,223193.300,304817.800,0.000
257119.500,283056.300,662565.900,653318.400,264874.700,275789.800,199362.600,271336.600,0.000
242378.600,266330.300,618454.600,610195.800,249354.500,259659.200,188466.600,255468.200,0.000
237862.500,260932.100,601630.600,593788.900,244526.000,254569.700,185479.800,250496.600,0.000
234118.000,256510.500,587435.100,579847.900,240590.600,250342.000,183070.700,246397.500,0.000
230585.400,252386.100,574244.300,566945.100,236856.000,246388.400,180794.000,242527.300,0.000
227258.700,248508.600,561927.900,555005.000,233274.800,242676.800,178635.200,238847.700,0.000
224147.000,244887.300,550532.500,543980.000,229952.200,239201.100,176620.500,235453.200,0.000
221238.900,241544.000,540077.000,533741.300,226949.100,235974.900,174751.000,232344.300,0.000
218508.800,238437.300,530358.000,524147.300,224170.300,232949.800,172986.200,229403.700,0.000
215925.700,235506.900,521196.000,515161.800,221513.100,230116.900,171317.100,226625.900,0.000
213492.600,232723.200,512546.600,506785.900,218938.000,227437.300,169730.200,223998.800,0.000
211219.000,230110.500,504488.700,498992.200,216520.000,224924.800,168245.400,221540.800,0.000
209091.000,227679.200,497041.700,491675.000,214330.300,222574.100,166864.500,219271.000,0.000
207078.300,225400.700,490070.400,484764.000,212302.000,220362.000,165550.700,217146.600,0.000
