EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
750000.100,416702.800,144723.300,708819.000,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,-337492.500,407218.500,750000.100,750000.100,750000.100,750000.100,533988.900,0.000
750000.100,-678778.800,548375.100,750000.100,750000.100,750000.100,750000.100,266413.800,0.000
750000.100,-750000.100,574305.800,750000.100,750000.100,750000.100,750000.100,737041.000,0.000
750000.100,-362214.500,653602.900,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,712686.200,679113.400,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,722818.200,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,748083.900,750000.100,0.000
706132.300,750000.100,750000.100,750000.100,714298.100,647697.600,625973.000,703291.600,0.000
599877.500,677626.100,750000.100,750000.100,605753.800,550360.400,532071.300,597979.100,0.000
514303.300,580246.100,750000.100,750000.100,518328.900,471469.800,455554.400,511974.900,0.000
443423.700,499329.200,750000.100,750000.100,444752.700,405600.300,391523.400,440078.300,0.000
384024.300,431763.100,750000.100,733809.900,383497.100,350479.200,338365.800,380535.800,0.000
334235.300,375525.300,750000.100,634791.100,333583.300,305049.100,294719.800,331555.300,0.000
297574.000,334215.900,750000.100,561697.900,297425.700,271771.800,262519.000,295487.400,0.000
282470.300,317035.200,719062.200,530038.200,282038.000,257876.500,248944.000,280182.200,0.000
274607.800,307813.000,690446.300,512357.300,273090.000,250289.500,241409.500,271668.300,0.000
267536.300,299575.300,664906.600,496758.700,265154.200,243461.500,234788.200,264311.400,0.000
261022.900,292303.300,642058.600,482800.800,258730.000,237537.300,229221.300,258179.200,0.000
254927.300,285646.000,621120.400,469726.200,253153.900,232170.600,224176.600,252529.900,0.000
249185.100,279222.800,601390.800,457171.700,247358.300,226935.600,219065.100,246679.100,0.000
243849.600,273024.300,582864.100,445442.800,241243.500,221781.600,213944.700,240843.700,0.000
238956.100,267375.900,565992.300,434928.800,235734.700,217066.600,209380.600,235766.600,0.000
234431.100,262396.400,550808.700,425479.300,231411.000,212998.600,205602.500,231618.200,0.000
230168.700,257818.400,536746.700,416508.300,227701.500,209333.000,202188.300,227785.200,0.000
226109.200,253307.000,523242.300,407703.300,223660.200,205662.300,198593.800,223648.600,0.000
222299.500,248861.300,510347.700,399361.100,219200.800,201944.400,194879.600,219406.900,0.000
218796.300,244784.300,498528.300,391906.300,215166.700,198523.500,191581.400,215736.400,0.000
215545.900,241226.400,487902.300,385222.800,212126.400,195618.400,188923.900,212849.100,0.000
212459.900,237953.900,477996.600,378788.300,209584.900,193015.200,186522.700,210154.600,0.000
209489.000,234655.100,468310.700,372338.600,206672.100,190346.800,183897.100,207108.400,0.000
206684.900,231343.800,458927.800,366167.500,203300.200,187567.400,181095.600,203892.100,0.000
204107.700,228314.000,450308.800,360681.800,200252.700,185013.100,178619.100,201150.200,0.000
201716.800,225709.500,442594.900,355803.500,198078.200,182902.500,176707.200,199087.500,0.000
199412.800,223303.900,435349.800,351039.900,196304.100,181018.800,174987.300,197166.600,0.000
197174.900,220827.700,428144.500,346156.900,194141.500,179022.800,173021.000,194875.400,0.000
195051.400,218288.200,421059.800,341438.700,191494.300,176883.400,170838.500,192363.900,0.000
193105.900,215972.700,414557.800,337286.200,189110.600,174920.400,168922.400,190253.700,0.000
191307.800,214023.900,408790.500,333633.000,187522.700,173344.100,167521.300,188759.200,0.000
189567.000,212236.800,403360.800,330025.800,186294.700,171956.300,166277.200,187373.800,0.000
187849.700,210339.000,397855.100,326236.600,184655.600,170439.700,164753.000,185582.300,0.000
186216.100,208352.100,392368.900,322553.700,182526.200,168765.300,163018.000,183562.600,0.000
184725.400,206550.100,387348.300,319352.900,180624.400,167227.700,161524.200,181915.900,0.000
183348.200,205072.600,382942.500,316576.500,179455.400,166034.100,160484.500,180835.500,0.000
