EEG1,EEG2,EEG3,EEG4,EEG5,EEG6,EEG7,EEG8
-127.22613525390625,-124.81214904785156,-123.73926544189453,-126.42147064208984,-117.74899291992188,-120.1629867553711,-115.24559783935547,-97.54301452636719
-127.04732513427734,-124.90155029296875,-123.73926544189453,-126.15325164794922,-117.74899291992188,-120.25238800048828,-114.97737884521484,-97.18538665771484
-126.8685073852539,-124.5439224243164,-123.5604476928711,-126.24266052246094,-117.65959167480469,-120.07357788085938,-114.97737884521484,-97.09598541259766
-126.95791625976562,-124.81214904785156,-123.5604476928711,-126.24266052246094,-117.74899291992188,-119.71595001220703,-114.97737884521484,-97.36420440673828
-127.04732513427734,-124.63333129882812,-123.47103881835938,-126.24266052246094,-117.57018280029297,-119.62654113769531,-115.06678771972656,-97.18538665771484
-126.8685073852539,-124.63333129882812,-123.5604476928711,-126.33206939697266,-117.57018280029297,-119.89476013183594,-114.88796997070312,-97.18538665771484
-126.689697265625,-124.63333129882812,-123.47103881835938,-126.42147064208984,-117.57018280029297,-119.80535888671875,-114.79856872558594,-97.45361328125
-126.689697265625,-124.3651123046875,-123.29222869873047,-125.97444152832031,-117.21255493164062,-119.80535888671875,-114.79856872558594,-97.09598541259766
-126.60028839111328,-124.45452117919922,-123.47103881835938,-126.0638427734375,-117.21255493164062,-119.62654113769531,-114.88796997070312,-97.09598541259766
-126.689697265625,-124.45452117919922,-123.5604476928711,-126.15325164794922,-117.30196380615234,-119.71595001220703,-114.79856872558594,-97.00657653808594
-126.77909851074219,-124.27570343017578,-123.47103881835938,-125.79562377929688,-117.21255493164062,-119.5371322631836,-114.70915985107422,-97.09598541259766
-126.689697265625,-124.18629455566406,-123.29222869873047,-125.70621490478516,-117.03373718261719,-119.62654113769531,-114.6197509765625,-97.18538665771484
-126.689697265625,-124.18629455566406,-123.11341094970703,-125.79562377929688,-117.03373718261719,-119.71595001220703,-114.6197509765625,-97.09598541259766
-126.77909851074219,-124.00748443603516,-123.29222869873047,-125.70621490478516,-116.85492706298828,-119.62654113769531,-114.6197509765625,-96.8277587890625
-126.42147064208984,-124.27570343017578,-123.20281982421875,-125.79562377929688,-117.1231460571289,-119.5371322631836,-114.6197509765625,-96.73835754394531
