EEG1,EEG2,EEG3,EEG4,EEG5,EEG6,EEG7,EEG8
34761.79296875,404956.59375,-227226.859375,750000.0625,750000.0625,444195.25,750000.0625,588378.25
-17650.458984375,333679.65625,457527.53125,750000.0625,750000.0625,592968.5,750000.0625,448922.375
4416.0791015625,400921.375,214051.40625,750000.0625,750000.0625,173655.453125,750000.0625,575341.5
56581.56640625,353365.0,229335.875,695463.625,750000.0625,-539367.375,750000.0625,721815.625
-31881.099609375,110259.4609375,473628.21875,715596.5625,750000.0625,-750000.125,750000.0625,484111.625
-391955.1875,-375634.125,568447.625,750000.0625,750000.0625,-587705.0625,750000.0625,83156.453125
615954.3125,-750000.125,638477.25,750000.0625,750000.0625,686638.1875,750000.0625,-55682.22265625
750000.0625,85935.1328125,689996.875,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
750000.0625,750000.0625,750000.0625,750000.0625,623577.375,750000.0625,750000.0625,750000.0625
750000.0625,750000.0625,750000.0625,750000.0625,525674.3125,750000.0625,750000.0625,750000.0625
750000.0625,750000.0625,750000.0625,750000.0625,457200.5625,750000.0625,750000.0625,750000.0625
750000.0625,750000.0625,750000.0625,750000.0625,406329.0625,750000.0625,717954.1875,750000.0625
737270.0625,697916.0,750000.0625,750000.0625,363263.0625,750000.0625,610419.8125,675373.375
629936.625,597672.6875,750000.0625,750000.0625,323523.0,653267.875,522878.59375,576753.1875
541744.0,514887.5625,750000.0625,750000.0625,288279.9375,561548.8125,450463.125,495816.96875
468251.09375,446191.09375,750000.0625,750000.0625,259178.40625,485158.21875,390445.9375,429213.9375
406742.84375,388816.5625,750000.0625,750000.0625,234793.109375,421353.125,340489.25,373680.875
361464.75,346414.5,750000.0625,750000.0625,216148.890625,374518.96875,303343.5,332407.03125
342403.625,328578.09375,750000.0625,750000.0625,210078.953125,354773.0,287680.90625,314579.71875
331997.71875,318873.5,750000.0625,750000.0625,208141.0625,343877.21875,279179.375,304885.40625
322682.9375,310526.0,750000.0625,750000.0625,207405.0625,334161.09375,271880.1875,296771.1875
314062.15625,303049.71875,750000.0625,750000.0625,207432.421875,325290.3125,265325.84375,289442.125
306010.3125,295879.34375,750000.0625,730383.0,206832.234375,317033.59375,259023.109375,282187.125
298544.75,288892.375,750000.0625,711659.3125,205021.296875,309320.71875,252870.03125,275040.65625
291761.1875,282474.46875,750000.0625,694604.625,203052.546875,302240.84375,247237.125,268672.375
285596.03125,276927.03125,750000.0625,679239.875,202168.671875,295816.5,242374.734375,263352.375
279813.375,271936.25,750000.0625,664905.9375,202032.234375,289893.5625,238002.1875,258529.765625
274300.4375,267031.375,750000.0625,651085.0625,201368.484375,284295.96875,233686.609375,253573.125
269126.28125,262108.015625,750000.0625,637877.9375,199639.0,278976.59375,229348.75,248529.421875
264420.625,257555.9375,750000.0625,625801.25,197776.5625,274053.78125,225349.21875,244037.34375
260120.5,253660.296875,750000.0625,614924.5,196917.09375,269571.15625,221940.140625,240373.078125
256050.0625,250170.65625,750000.0625,604694.1875,196766.703125,265407.5625,218882.234375,237047.328125
252104.984375,246641.9375,750000.0625,594649.5,196140.5,261412.515625,215783.296875,233487.578125
248367.140625,243006.296875,750000.0625,584920.125,194538.6875,257565.25,212577.078125,229759.671875
244976.5625,239648.796875,750000.0625,576023.8125,192836.5625,253987.890625,209610.5625,226451.703125
241870.46875,236818.0,750000.0625,568037.875,192064.171875,250723.46875,207127.546875,223839.671875
238907.25,234300.296875,750000.0625,560495.125,191983.34375,247690.421875,204930.1875,221490.953125
235980.609375,231682.28125,750000.0625,552931.0625,191456.203125,244738.109375,202634.125,218853.0
233193.171875,228922.640625,750000.0625,545527.0625,190025.328125,241865.640625,200200.203125,216004.046875
230659.828125,226355.234375,750000.0625,538769.5,188486.734375,239181.640625,197942.671875,213500.828125
228357.5,224248.359375,749289.25,532763.3125,187843.0,236759.171875,196108.3125,211613.90625
226136.28125,222397.453125,742096.125,527052.1875,187844.96875,234496.546875,194493.625,209916.328125
223916.484375,220420.671875,734780.4375,521242.15625,187435.65625,232268.078125,192759.75,207917.453125
221785.28125,218261.21875,727296.8125,515484.34375,186166.265625,230078.671875,190863.875,205680.046875
219862.671875,216249.203125,720256.5,510242.25,184787.0625,228024.109375,189106.3125,203724.453125
218128.8125,214665.09375,714083.5625,505641.71875,184263.765625,226183.578125,187729.984375,202340.96875
216439.90625,213299.046875,708369.0,501245.59375,184369.359375,224469.453125,186542.21875,201112.875
214724.1875,211784.671875,702466.5625,496682.78125,184081.828125,222762.328125,185212.90625,199565.328125
213058.09375,210064.5625,696331.6875,492081.53125,182949.484375,221045.703125,183692.28125,197749.296875
211576.703125,208476.15625,690578.4375,487936.625,181714.140625,219451.671875,182294.3125,196204.515625
210254.828125,207269.34375,685607.1875,484359.90625,181302.078125,218072.484375,181242.4375,195179.015625
208948.40625,206248.5,681018.625,480924.4375,181488.125,216762.125,180352.21875,194276.984375
207597.46875,205071.359375,676207.25,477278.53125,181289.109375,215420.40625,179313.484375,193053.90625
206284.171875,203688.6875,671139.4375,473569.28125,180286.40625,214065.890625,178089.140625,191566.703125
205123.3125,202404.984375,666385.1875,470248.625,179172.671875,212802.296875,176960.375,190319.5625
204105.328125,201481.578125,662351.125,467427.21875,178866.171875,211701.875,176161.796875,189572.3125
203085.546875,200719.390625,658640.9375,464705.125,179134.578125,210665.5625,175506.625,188933.40625
202011.59375,199797.15625,654679.4375,461753.96875,179035.328125,209609.84375,174696.328125,187964.765625
200961.5,198666.515625,650429.375,458711.375,178147.609375,208533.65625,173691.5625,186729.25
200042.125,197619.921875,646453.1875,456004.40625,177142.328125,207524.875,172767.28125,185706.890625
199254.28125,196912.890625,643145.4375,453762.59375,176908.515625,206657.359375,172148.3125,185151.84375
198469.734375,196361.78125,640143.375,451612.375,177248.890625,205863.953125,171675.625,184712.046875
197611.25,195633.5625,636855.0625,449201.78125,177223.328125,205033.28125,171044.765625,183944.859375
196762.953125,194690.046875,633255.875,446669.15625,176421.078125,204160.21875,170212.390625,182900.484375
196038.046875,193819.859375,629905.25,444448.1875,175504.46875,203345.0,169448.046875,182057.828125
195428.46875,193279.921875,627189.0,442664.78125,175349.09375,202667.203125,168978.5625,181671.671875
194801.0,192876.25,624738.6875,440934.75,175739.609375,202043.953125,168635.0625,181371.625
194100.953125,192302.4375,621989.375,438937.15625,175771.359375,201380.546875,168130.90625,180744.96875
193404.46875,191513.421875,618908.9375,436808.4375,175039.296875,200670.125,167428.796875,179848.21875
192823.5,190797.546875,616048.875,434974.53125,174203.15625,200021.203125,166798.203125,179148.25
192348.921875,190392.796875,613792.4375,433554.75,174111.515625,199495.3125,166451.21875,178888.53125
191856.5625,190124.3125,611783.25,432171.8125,174563.828125,199023.34375,166224.75,178720.359375
191287.046875,189674.953125,609459.5625,430489.875,174653.59375,198496.28125,165825.640625,178209.84375
190716.890625,188997.953125,606789.125,428673.21875,173984.28125,197911.203125,165218.828125,177420.90625
190252.78125,188384.265625,604317.6875,427127.71875,173198.84375,197374.9375,164677.734375,176822.953125
189890.953125,188083.859375,602440.9375,425981.25,173152.359375,196963.40625,164425.34375,176665.0625
189501.859375,187905.671875,600792.8125,424861.8125,173641.234375,196591.828125,164284.96875,176586.84375
189029.6875,187545.984375,598818.75,423450.15625,173777.578125,196162.671875,163970.890625,176175.46875
188556.015625,186972.796875,596498.875,421883.46875,173167.828125,195685.859375,163457.15625,175487.578125
188181.21875,186446.015625,594352.75,420573.03125,172439.15625,195249.03125,162994.734375,174970.09375
187894.046875,186211.140625,592754.1875,419632.65625,172422.703125,194907.671875,162795.265625,174870.671875
187578.4375,186100.640625,591378.25,418710.59375,172936.53125,194608.515625,162712.390625,174855.921875
187185.234375,185811.671875,589675.375,417498.25,173098.890625,194257.59375,162460.53125,174514.734375
186785.578125,185301.15625,587608.0625,416125.40625,172513.640625,193847.296875,161998.65625,173884.421875
186479.359375,184848.9375,585719.625,415001.5625,171817.328125,193481.0,161596.328125,173435.6875
186271.765625,184689.34375,584385.125,414256.625,171842.546875,193228.609375,161468.5625,173416.375
186038.671875,184652.78125,583254.3125,413521.78125,172389.453125,193009.015625,161446.921875,173465.375
185718.234375,184436.859375,581788.6875,412488.3125,172586.859375,192727.75,161249.25,173180.25
185383.234375,183996.4375,579953.875,411287.40625,172040.578125,192387.734375,160844.140625,172617.4375
185146.65625,183601.53125,578281.3125,410322.09375,171380.046875,192086.4375,160493.484375,172228.875
184991.71875,183491.640625,577138.6875,409709.46875,171422.953125,191887.765625,160406.59375,172251.765625
184801.015625,183501.484375,576196.875,409107.03125,171987.46875,191722.640625,160428.140625,172351.71875
184528.59375,183331.78125,574918.375,408205.28125,172212.953125,191499.390625,160277.21875,172115.0625
184242.40625,182931.875,573261.5625,407134.90625,171703.34375,191215.875,159919.9375,171600.4375
184044.265625,182582.5625,571759.4375,406292.40625,171072.21875,190967.859375,159614.796875,171258.1875
183933.40625,182520.15625,570785.25,405795.3125,171141.5,190817.296875,159569.828125,171322.90625
183794.296875,182574.6875,570005.125,405309.5625,171729.265625,190701.6875,159625.609375,171454.875
183570.765625,182447.375,568880.0,404518.40625,171973.796875,190522.609375,159510.28125,171258.53125
183330.171875,182089.03125,567377.6875,403553.6875,171483.125,190276.296875,159187.34375,170781.90625
183178.359375,181775.390625,566022.9375,402816.09375,170871.5,190060.734375,158909.828125,170468.359375
183109.609375,181744.1875,565188.5,402423.96875,170953.125,189943.96875,158888.015625,170557.765625
182999.8125,181823.40625,564533.1875,402025.03125,171550.453125,189852.859375,158967.046875,170720.046875
182804.28125,181719.15625,563529.0,401319.5,171805.265625,189701.40625,158876.125,170554.71875
182586.140625,181389.421875,562149.8125,400433.5,171324.609375,189484.0625,158575.0,170105.1875
182459.890625,181102.6875,560920.0625,399772.9375,170727.109375,189299.25,158322.328125,169819.359375
182410.71875,181090.625,560192.75,399451.96875,170818.125,189208.953125,158321.703125,169936.203125
182323.453125,181194.78125,559646.0625,399128.0625,171419.921875,189146.375,158423.0,170123.0625
182152.421875,181122.90625,558763.6875,398499.96875,171690.375,189029.6875,158360.234375,169983.953125
181965.65625,180820.609375,557491.6875,397690.84375,171226.078125,188846.765625,158084.421875,169558.46875
181860.421875,180562.5,556351.375,397093.15625,170640.640625,188693.25,157851.953125,169297.578125
181835.390625,180581.453125,555721.4375,396836.5625,170747.75,188630.5,157874.765625,169436.15625
181780.21875,180717.96875,555272.375,396581.9375,171365.109375,188602.15625,158000.375,169645.015625
181632.875,180671.03125,554472.25,396022.0625,171645.40625,188509.96875,157957.640625,169528.6875
181461.484375,180390.75,553288.75,395273.46875,171195.859375,188346.984375,157701.75,169128.78125
181376.453125,180150.953125,552241.625,394739.875,170625.53125,188210.640625,157487.8125,168887.375
181369.3125,180182.703125,551691.6875,394541.3125,170738.1875,188168.96875,157526.4375,169042.765625
181323.890625,180328.421875,551322.625,394336.90625,171367.53125,188158.15625,157669.296875,169269.5
181186.734375,180292.84375,550603.6875,393821.75,171655.953125,188081.890625,157635.328125,169164.171875
181024.015625,180013.1875,549487.0625,393107.21875,171203.828125,187927.75,157383.921875,168769.09375
180963.21875,179794.21875,548513.4375,392623.34375,170641.453125,187808.75,157185.078125,168548.078125
180976.09375,179844.296875,548031.8125,392466.34375,170760.984375,187784.609375,157234.78125,168713.390625
180942.921875,180009.609375,547719.4375,392306.21875,171384.0625,187786.40625,157385.078125,168949.25
180816.234375,179988.59375,547049.5,391832.0,171671.15625,187719.171875,157364.421875,168858.671875
180675.328125,179731.28125,545988.4375,391161.1875,171231.53125,187578.265625,157126.328125,168478.875
180642.78125,179518.140625,545067.625,390713.78125,170675.96875,187472.140625,156935.984375,168261.171875
180680.78125,179575.4375,544639.0,390595.59375,170796.484375,187454.515625,156993.75,168440.96875
180676.484375,179748.796875,544382.6875,390471.84375,171429.03125,187469.28125,157154.9375,168695.15625
180574.390625,179735.390625,543771.125,390029.09375,171727.03125,187414.828125,157144.9375,168617.015625
180452.4375,179491.484375,542769.9375,389399.59375,171297.078125,187291.09375,156924.453125,168250.703125
180413.546875,179287.546875,541888.8125,388980.53125,170741.3125,187194.171875,156743.046875,168042.84375
180450.640625,179355.234375,541507.4375,388893.28125,170863.09375,187187.90625,156805.984375,168227.46875
180451.546875,179536.1875,541293.625,388800.03125,171498.59375,187214.90625,156972.375,168484.59375
